Symbol,Name,Price,Change,Change %,50 Day Avg,200 Day Avg,3 Month Return,YTD Return,52 Wk Change %,52 Wk Range
FTPAX,First Trust Private Assets Fund,11.51+0.89(+8.38%),+0.89,+8.38%,10.82,10.82,--,--,+11.53%,
0P0001T9Z1,CSOP Ether ETF Unlisted Share C,6.23+0.28(+4.67%),+0.28,+4.67%,4.70,6.65,-43.65%,-48.37%,-31.09%,
GRHIX,Goehring & Rozencwajg Resources Instl,14.13+0.52(+3.82%),+0.52,+3.82%,12.87,13.11,-2.39%,+0.80%,-5.61%,
GRHAX,Goehring & Rozencwajg Resources Retail,13.93+0.50(+3.72%),+0.50,+3.72%,12.70,12.94,-2.50%,+0.64%,-5.81%,
PMPIX,ProFunds Precious Metals UltraSector Inv,78.73+2.70(+3.55%),+2.70,+3.55%,73.49,61.20,+38.01%,+69.71%,+49.99%,
PMPSX,ProFunds Precious Metals UltraSector Svc,65.45+2.24(+3.54%),+2.24,+3.54%,61.14,50.85,+37.69%,+69.16%,+49.87%,
0P00011WC1,Kieger Fd I Global Real Assets AP1 USD,473.39+15.98(+3.49%),+15.98,+3.49%,443.90,439.78,+11.75%,+11.24%,+13.13%,
OCMAX,OCM Gold Atlas,21.43+0.59(+2.83%),+0.59,+2.83%,19.48,16.82,+28.42%,+46.77%,+51.99%,
FGPMX,Franklin Gold and Precious Metals R6,31.00+0.85(+2.82%),+0.85,+2.82%,28.19,24.48,+31.29%,+50.99%,+41.68%,
OCMGX,OCM Gold Investor,18.62+0.51(+2.82%),+0.51,+2.82%,16.93,14.64,+28.22%,+46.46%,+51.14%,
FKRCX,Franklin Gold and Precious Metals A,27.75+0.76(+2.82%),+0.76,+2.82%,25.25,22.04,+31.18%,+50.87%,+39.94%,
FRGOX,Franklin Gold and Precious Metals C,23.86+0.65(+2.80%),+0.65,+2.80%,21.72,19.10,+30.92%,+50.44%,+37.44%,
FGADX,Franklin Gold and Precious Metals Adv,30.48+0.83(+2.80%),+0.83,+2.80%,27.73,24.09,+31.25%,+51.00%,+41.37%,
GOLDX,Gabelli Gold AAA,30.55+0.83(+2.79%),+0.83,+2.79%,27.96,23.91,+28.16%,+44.42%,+50.27%,
INIIX,VanEck International Investors Gold I,22.47+0.61(+2.79%),+0.61,+2.79%,20.71,17.78,+28.99%,+46.40%,+46.29%,
GLDAX,Gabelli Gold A,30.60+0.83(+2.79%),+0.83,+2.79%,28.01,23.95,+28.15%,+44.46%,+50.29%,
GLDIX,Gabelli Gold I,31.34+0.85(+2.79%),+0.85,+2.79%,28.68,24.53,+28.28%,+44.54%,+50.31%,
GLDCX,Gabelli Gold C,27.37+0.74(+2.78%),+0.74,+2.78%,25.07,21.43,+27.98%,+44.07%,+49.97%,
IIGCX,VanEck International Investors Gold C,12.66+0.34(+2.76%),+0.34,+2.76%,11.68,10.19,+28.65%,+45.92%,+40.67%,
INIYX,VanEck International Investors Gold Y,16.44+0.44(+2.75%),+0.44,+2.75%,15.16,13.13,+28.98%,+46.43%,+43.46%,
INIVX,VanEck International Investors Gold A,15.83+0.42(+2.73%),+0.42,+2.73%,14.60,12.65,+28.79%,+46.25%,+43.13%,
UIPMX,Victory Precious Metals and Minerals Fund,29.63+0.78(+2.70%),+0.78,+2.70%,27.49,23.21,+29.21%,+48.52%,+49.87%,
UPMMX,Victory Precious Metals and Minerals Fund,28.51+0.75(+2.70%),+0.75,+2.70%,26.46,22.36,+29.11%,+48.38%,+49.42%,
USAGX,Victory Precious Metals and Minerals Fund,28.95+0.76(+2.70%),+0.76,+2.70%,26.82,22.66,+29.21%,+48.49%,+49.69%,
EKWYX,Allspring Precious Metals Fund,87.03+2.28(+2.69%),+2.28,+2.69%,80.06,67.36,+29.01%,+46.56%,+58.44%,
EKWAX,Allspring Precious Metals Fund,85.17+2.23(+2.69%),+2.23,+2.69%,78.37,65.90,+28.92%,+46.43%,+58.43%,
EKWDX,Allspring Precious Metals Fund,86.13+2.25(+2.68%),+2.25,+2.68%,79.25,66.63,+28.97%,+46.48%,+58.53%,
EKWCX,Allspring Precious Metals Fund,74.29+1.94(+2.68%),+1.94,+2.68%,68.41,57.46,+28.68%,+46.05%,+58.40%,
